genes	uniprot
B9J09_RS00005	B9J09_RS00005
B9J09_RS00010	B9J09_RS00010
B9J09_RS00015	B9J09_RS00015
B9J09_RS12740	B9J09_RS12740
B9J09_RS00025	B9J09_RS00025
B9J09_RS00030	B9J09_RS00030
B9J09_RS00035	B9J09_RS00035
B9J09_RS00040	B9J09_RS00040
B9J09_RS00045	B9J09_RS00045
B9J09_RS00050	B9J09_RS00050
B9J09_RS00055	B9J09_RS00055
B9J09_RS00060	B9J09_RS00060
B9J09_RS00065	B9J09_RS00065
B9J09_RS12745	B9J09_RS12745
B9J09_RS12750	B9J09_RS12750
B9J09_RS00075	B9J09_RS00075
B9J09_RS12230	B9J09_RS12230
B9J09_RS00085	B9J09_RS00085
B9J09_RS00100	B9J09_RS00100
B9J09_RS00115	B9J09_RS00115
B9J09_RS00120	B9J09_RS00120
B9J09_RS00125	B9J09_RS00125
B9J09_RS00130	B9J09_RS00130
B9J09_RS00135	B9J09_RS00135
B9J09_RS00140	B9J09_RS00140
B9J09_RS00145	B9J09_RS00145
B9J09_RS00150	B9J09_RS00150
B9J09_RS00160	B9J09_RS00160
B9J09_RS00175	B9J09_RS00175
B9J09_RS00180	B9J09_RS00180
B9J09_RS00185	B9J09_RS00185
B9J09_RS00190	B9J09_RS00190
B9J09_RS00200	B9J09_RS00200
B9J09_RS00205	B9J09_RS00205
B9J09_RS00210	B9J09_RS00210
B9J09_RS00215	B9J09_RS00215
B9J09_RS12235	B9J09_RS12235
B9J09_RS00225	B9J09_RS00225
B9J09_RS12240	B9J09_RS12240
B9J09_RS00235	B9J09_RS00235
B9J09_RS00240	B9J09_RS00240
B9J09_RS00245	B9J09_RS00245
B9J09_RS00250	B9J09_RS00250
B9J09_RS00255	B9J09_RS00255
B9J09_RS00260	B9J09_RS00260
B9J09_RS00270	B9J09_RS00270
B9J09_RS00305	B9J09_RS00305
B9J09_RS00310	B9J09_RS00310
B9J09_RS00315	B9J09_RS00315
B9J09_RS00320	B9J09_RS00320
B9J09_RS00325	B9J09_RS00325
B9J09_RS00330	B9J09_RS00330
B9J09_RS00335	B9J09_RS00335
B9J09_RS13260	B9J09_RS13260
B9J09_RS00340	B9J09_RS00340
